Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
1113094,1602114526,PG&E repair crew is on-site working to restore power.,1602108000,Our preliminary determination is that your outage was caused by scheduled maintenance work.,1,1602114874,0,37.17146,-122.06621,Boulder Creek,2020-10-07 18:56:25-07:00,2020-10-07 17:52:26-07:00,,,,
1113097,1602115256,PG&E is sending a repair crew to the outage location.,1602135000,PG&E is investigating the cause of your outage.,1,1602131388,0,37.56151,-122.35378,Hillsborough,2020-10-07 21:46:23-07:00,2020-10-07 17:52:26-07:00,1602124200,,,
1113098,1602115352,PG&E is sending a repair crew to the outage location.,,PG&E is investigating the cause of your outage.,1,1602123971,0,40.68139,-122.04038,Oak Run,2020-10-07 19:37:59-07:00,2020-10-07 17:52:26-07:00,,,,
1113100,1602115598,PG&E has assigned a crew to assess the outage.,1602137700,PG&E is investigating the cause of your outage.,2,1602121154,1,37.34833,-119.70692,Ahwahnee,2020-10-07 19:37:59-07:00,2020-10-07 17:52:26-07:00,1602137700,,1602119880,1602119880
1113101,1602115613,PG&E assessment crew is en route to the outage.,1602126900,Unknown - PG&E will be assessing the cause.,1,1602115712,0,37.6653,-122.0663,Hayward,2020-10-07 19:06:23-07:00,2020-10-07 17:52:26-07:00,1602126900,,,
1113102,1602115684,PG&E is assessing the cause at the outage location.,1602134400,PG&E is investigating the cause of your outage.,1,1602127224,0,38.02847,-120.41884,Columbia,2020-10-07 21:06:17-07:00,2020-10-07 17:52:26-07:00,1602127800,,1602123660,1602123660
1113103,1602115810,PG&E is assessing the cause at the outage location.,,PG&E is investigating the cause of your outage.,1,1602118180,0,36.63389,-119.69864,Fowler,2020-10-07 18:56:25-07:00,2020-10-07 17:52:26-07:00,,,,
1113104,1602116170,PG&E is assessing the cause at the outage location.,1602124200,PG&E is investigating the cause of your outage.,1,1602120060,1,37.73382,-122.4074,San Francisco,2020-10-07 18:37:07-07:00,2020-10-07 17:52:26-07:00,1602124200,,,
1113105,1602116208,PG&E is assessing the cause at the outage location.,1602128700,PG&E is investigating the cause of your outage.,10,1602120895,0,37.45824,-122.23384,Redwood City,2020-10-07 18:56:25-07:00,2020-10-07 17:52:26-07:00,1602128700,,,
1113106,1602116250,PG&E has assigned a crew to assess the outage.,1602128700,Unknown - PG&E will be assessing the cause.,4,1602117056,0,37.94796,-122.18444,Martinez,2020-10-07 20:06:27-07:00,2020-10-07 17:52:26-07:00,1602128700,,,
1113107,1602116250,PG&E repair crew is on-site working to restore power.,1602162000,Our preliminary determination is that your outage was caused by an equipment issue.,16,1602154599,3,37.94878,-122.18401,Martinez,2020-10-08 04:37:57-07:00,2020-10-07 17:52:26-07:00,1602128700,"[{'latitude': '37.94793', 'longitude': '-122.1702'}, {'latitude': '37.95344', 'longitude': '-122.17561'}, {'latitude': '37.95456', 'longitude': '-122.17832'}, {'latitude': '37.95029', 'longitude': '-122.182'}]",,
1113108,1602116250,PG&E has assigned a crew to assess the outage.,1602162000,Unknown - PG&E will be assessing the cause.,1,1602153822,0,37.95643,-122.19768,Martinez,2020-10-08 04:06:22-07:00,2020-10-07 17:52:26-07:00,1602128700,,,
1113109,1602116669,PG&E is assessing the cause at the outage location.,1602129600,PG&E is investigating the cause of your outage.,1,1602120084,0,37.65515,-122.07401,Hayward,2020-10-07 18:56:25-07:00,2020-10-07 17:52:26-07:00,1602129600,,,
1113110,1602116676,PG&E is sending a repair crew to the outage location.,,PG&E is investigating the cause of your outage.,5,1602120623,0,38.46681,-122.6224,Santa Rosa,2020-10-07 22:28:15-07:00,2020-10-07 17:52:26-07:00,,,1602119700,1602119700
1113111,1602116739,PG&E is assessing the cause at the outage location.,1602137220,PG&E is investigating the cause of your outage.,1,1602131640,0,37.96991,-121.30436,Stockton,2020-10-07 21:56:16-07:00,2020-10-07 17:52:26-07:00,1602123300,,1602129540,1602129540
1113112,1602116829,PG&E has assigned a crew to assess the outage.,1602117000,Our preliminary determination is that your outage was caused by scheduled maintenance work.,36,1602119056,0,37.86315,-122.26003,Berkeley,2020-10-07 18:37:07-07:00,2020-10-07 17:52:26-07:00,,,,
1113113,1602116843,PG&E repair crew is on-site working to restore power.,1602133200,Our preliminary determination is that your outage was caused by an equipment issue.,1,1602126638,0,39.27717,-121.82397,Live Oak,2020-10-07 21:56:16-07:00,2020-10-07 17:52:26-07:00,,,,
1113114,1602116854,PG&E is assessing the cause at the outage location.,1602128700,PG&E is investigating the cause of your outage.,1,1602119232,0,37.82683,-122.01435,Danville,2020-10-07 19:46:24-07:00,2020-10-07 17:52:26-07:00,1602128700,,1602118980,1602118980
1113115,1602116942,PG&E is assessing the cause at the outage location.,1602135900,PG&E is investigating the cause of your outage.,1,1602130717,0,37.93171,-121.93697,Clayton,2020-10-07 21:56:16-07:00,2020-10-07 17:52:26-07:00,1602129600,,,
1113116,1602117073,PG&E is assessing the cause at the outage location.,1602144600,PG&E is investigating the cause of your outage.,1,1602135386,0,37.96389,-121.29199,Stockton,2020-10-07 23:06:30-07:00,2020-10-07 17:52:26-07:00,1602126900,,1602135780,1602135780
1113117,1602117143,PG&E is assessing the cause at the outage location.,1602126000,PG&E is investigating the cause of your outage.,1,1602119463,0,37.77709,-122.20921,Oakland,2020-10-07 18:37:07-07:00,2020-10-07 17:52:26-07:00,1602126000,,,
