Unnamed: 0,outageStartTime,crewCurrentStatus,currentEtor,cause,estCustAffected,lastUpdateTime,hazardFlag,latitude,longitude,regionName,estimated_end_time,first_spotted_time,autoEtor,outageDevices,crewEta,crewEta.1
708768,1574034360,PG&E assessment crew is en route to the outage.,1574046000.0,Unknown - PG&E will be assessing the cause.,3,1574035471,0,36.61291,-119.91683,Raisin City,2019-11-17 16:20:16-08:00,2019-11-17 16:00:26-08:00,1574046000.0,"[{'latitude': '36.60826', 'longitude': '-119.91905'}, {'latitude': '36.60827', 'longitude': '-119.91714'}, {'latitude': '36.60987', 'longitude': '-119.91682'}]",,
708769,1574034780,PG&E has assigned a crew to assess the outage.,1574046900.0,Unknown - PG&E will be assessing the cause.,1,1574034902,0,36.6079,-119.90981,Raisin City,2019-11-17 16:20:16-08:00,2019-11-17 16:00:26-08:00,1574046900.0,,,
708770,1574033160,PG&E has assigned a crew to assess the outage.,1574042400.0,Unknown - PG&E will be assessing the cause.,1,1574034942,0,36.73582,-119.78108,Fresno,2019-11-17 16:10:26-08:00,2019-11-17 16:00:26-08:00,1574042400.0,,,
708771,1574034965,PG&E has assigned a crew to assess the outage.,1574041500.0,Unknown - PG&E will be assessing the cause.,1,1574037508,0,37.7702,-122.43434,San Francisco,2019-11-17 17:00:19-08:00,2019-11-17 16:00:26-08:00,1574041500.0,,,
708772,1574035453,PG&E is assessing the cause at the outage location.,1574047800.0,PG&E is investigating the cause of your outage.,24,1574040650,1,36.60645,-119.90801,Raisin City,2019-11-17 17:50:20-08:00,2019-11-17 16:10:16-08:00,1574047800.0,"[{'latitude': '36.6079', 'longitude': '-119.90981'}, {'latitude': '36.63343', 'longitude': '-119.91688'}, {'latitude': '36.63349', 'longitude': '-119.92607'}, {'latitude': '36.62253', 'longitude': '-119.92613'}, {'latitude': '36.62147', 'longitude': '-119.92592'}, {'latitude': '36.60826', 'longitude': '-119.91905'}]",,
708773,1574035800,PG&E has assigned a crew to assess the outage.,1574046000.0,Unknown - PG&E will be assessing the cause.,1,1574035801,0,39.23035,-121.06102,Grass Valley,2019-11-17 16:30:12-08:00,2019-11-17 16:20:12-08:00,1574046000.0,,,
708774,1574036040,PG&E has assigned a crew to assess the outage.,1574046000.0,Unknown - PG&E will be assessing the cause.,1,1574036794,0,38.46934,-122.68681,Santa Rosa,2019-11-17 16:50:18-08:00,2019-11-17 16:20:12-08:00,1574046000.0,,,
708775,1574036761,PG&E is assessing the cause at the outage location.,1574048700.0,PG&E is investigating the cause of your outage.,1,1574039567,0,37.65885,-121.87696,Pleasanton,2019-11-17 18:10:22-08:00,2019-11-17 16:30:22-08:00,1574048700.0,,,
708776,1574036400,PG&E has assigned a crew to assess the outage.,1574049600.0,Unknown - PG&E will be assessing the cause.,1,1574036973,0,38.18946,-121.58198,Walnut Grove,2019-11-17 16:50:18-08:00,2019-11-17 16:40:18-08:00,1574049600.0,,,
708777,1574036969,PG&E is assessing the cause at the outage location.,1574048700.0,PG&E is investigating the cause of your outage.,5,1574037217,0,38.73625,-121.43627,Elverta,2019-11-17 17:10:20-08:00,2019-11-17 16:40:18-08:00,1574048700.0,"[{'latitude': '38.73477', 'longitude': '-121.43268'}, {'latitude': '38.73887', 'longitude': '-121.40227'}, {'latitude': '38.7414', 'longitude': '-121.40525'}, {'latitude': '38.74455', 'longitude': '-121.42893'}, {'latitude': '38.74425', 'longitude': '-121.4335'}]",,
